Taxpayer ID,Property Value,Location,Ownership Date
TXP_E31FA6741F,638048.78,Rural East,2010-12-19
TXP_7096F067F0,763041.06,City Center,2022-10-23
TXP_F934E66FB5,172513.43,City Center,2024-09-30
TXP_B028D1CA58,50000.0,Coastal Area,2008-09-04
TXP_5CDAB3C414,84684.26,Suburban West,2019-02-20
TXP_2D1C53D980,388975.62,Unknown,2019-10-25
TXP_886CD3511B,123843.16,City Center,2020-04-20
TXP_2A0DB42A90,177407.19,Suburban North,2022-03-06
TXP_9549D45ED8,464367.78,Suburban North,2008-10-15
TXP_1B9A8C4FD5,260486.775,Suburban North,2023-01-04
TXP_B5EAB6D5F1,73143.08,Suburban North,2010-02-17
TXP_75D1B8F0F7,200942.3,City Center,2008-09-11
TXP_C5BC417BBC,440953.16,City Center,2013-01-28
TXP_1C2620D75A,449299.99,Coastal Area,2023-05-11
TXP_7096F067F0,1043759.95,Rural East,2012-01-24
TXP_9B899FC612,199555.94,Suburban West,2015-11-05
TXP_31E11252A9,208474.58,Rural East,2024-08-05
TXP_0B8E2FDDA9,342033.18,Industrial South,2024-08-21
TXP_1358FD8A7B,89197.95,Rural East,1900-01-01
TXP_C485C2E79C,1862705.73,Rural East,2020-05-27
TXP_AC778A5C7B,223050.12,City Center,2020-02-03
TXP_97B138C5B1,214643.81,City Center,2013-12-22
TXP_D525275617,234296.71,Rural East,2011-10-22
TXP_850380BB61,275318.68,Rural East,2024-09-17
TXP_644EE409E6,492296.3,Unknown,2012-09-20
TXP_2E4E35D11F,1552698.87,Suburban North,2020-11-06
TXP_C9632EF2EB,247476.48,Suburban North,2009-04-01
TXP_5F486CE51E,136517.72,Suburban North,2010-09-25
TXP_0B9EB0963E,188908.95,City Center,2009-07-30
TXP_2CB79F9FD5,558964.11,Rural East,2013-01-31
TXP_B63CB836D4,304807.82,Industrial South,2015-11-25
TXP_8F04A17419,848356.33,Coastal Area,2020-05-13
TXP_46ABBBE352,63650.08,Suburban West,2015-03-27
TXP_D5B008EBB5,216698.84,Coastal Area,2012-02-03
TXP_5E49F9EF6B,537554.94,Rural East,2019-01-26
TXP_13A8D70CBC,64936.99,City Center,2007-02-26
TXP_044FE062ED,54025.67,Industrial South,2005-10-23
TXP_2CDC9D1149,519076.87,Rural East,2025-02-28
TXP_867A8FD7F5,163874.39,City Center,2008-04-15
TXP_75E845D60F,395565.15,Industrial South,2007-03-27
TXP_A4BFBB5A56,87042.99,City Center,2021-09-23
TXP_7E9B01F316,172156.93,Suburban West,2009-08-25
TXP_8053D5D0FB,304221.82,Rural East,2015-10-30
TXP_635151D080,89270.8,Suburban West,2017-09-04
TXP_2FE906E0DD,80677.67,Industrial South,2019-01-28
TXP_3C02F23C1E,244975.16,Unknown,2021-10-27
TXP_49C16FF4DA,58282.16,Suburban North,2020-06-24
TXP_D386E876B2,118131.96,Industrial South,2008-03-08
TXP_34C5C1C53C,487665.66,City Center,2017-10-04
TXP_1BC6D60CE0,1561644.68,Rural East,2023-01-06
TXP_E13CCEC936,344383.53,Industrial South,2023-03-25
TXP_45AE3B4A55,63194.96,Unknown,2016-10-14
TXP_20CD3544D0,104939.91,City Center,2023-02-20
TXP_0AAE6FDBF5,50000.0,City Center,2017-04-04
TXP_36D54820D5,73141.56,Suburban North,2006-04-20
TXP_A3331DBF07,118268.92,Suburban North,2017-08-05
TXP_3D7C48EE6E,873907.08,Rural East,2011-10-08
TXP_383572CFC7,510629.76,Rural East,2019-05-18
TXP_2B3C5BF4B9,746090.19,Coastal Area,2007-03-17
TXP_772811ACB6,671793.96,City Center,2024-05-02
TXP_AD32578C30,499709.59,Coastal Area,2008-12-10
TXP_6B805A14EC,83904.23,Rural East,2015-01-02
TXP_6B1FEB6BB8,210907.97,Suburban North,2013-04-13
TXP_CDA175277D,148276.84,City Center,2022-07-05
TXP_D7A3C47DBB,127039.04,City Center,2016-10-26
TXP_EC643CAC82,629845.65,Suburban North,2023-07-17
TXP_F2B9F7EFE1,315817.6,Suburban West,2012-12-04
