Taxpayer ID,Declared Income,Deductions,Sector
TXP_0A78B11C9A,250000.0,48301.93,Technology
TXP_85119644D8,147896.72,23505.16,Manufacturing
TXP_FB9D1C4009,51184.27,9297.54,Healthcare
TXP_EC27D12475,42463.53,9691.49,Retail
TXP_749ADA1DEB,36677.42,2491.77,Technology
TXP_B617598181,22376.15,2234.06,Retail
TXP_4A3AAE7AAD,157764.75,37097.02,Services
TXP_FD2EEB11BE,36864.07,3839.73,Construction
TXP_9265BCC637,68246.61,18882.19,Healthcare
TXP_04930AC896,49050.08,8949.48,Finance
TXP_CE7A6EA1EC,87419.95,21626.89,Healthcare
TXP_4DC0D4D850,57096.39,24592.51,Technology
TXP_6DE4D3F600,42586.81,4640.97,Manufacturing
TXP_3D3584D9BD,78050.25,11816.04,Education
TXP_BB5F00FA81,19759.46,2749.25,Technology
TXP_172DBEDF3A,113570.85,11431.33,Technology
TXP_F883A61ACE,35831.77,1800.64,Education
TXP_EF3EA832B3,20977.54,4042.17,Technology
TXP_B053A06176,35698.25,4735.99,Education
TXP_C320F47F66,51305.69,11489.2,Manufacturing
TXP_F77A1B12BA,117450.79,11928.12,Manufacturing
TXP_E7F07F70BF,165869.59,19015.99,Technology
TXP_F0FE794000,36293.45,4860.31,Finance
TXP_4572E17CD9,67516.86,10387.43,Construction
TXP_E43CAB9304,71919.79,11705.14,Technology
TXP_E38455C852,26316.32,3897.26,Services
TXP_D55ADE414D,111604.16,24397.01,Construction
TXP_5CE499686F,16646.56,1485.21,Retail
TXP_9D261F36D3,28917.14,4610.07,Manufacturing
TXP_9118AA58C3,250000.0,40247.3,Healthcare
TXP_EEC7F6FE2D,102116.65,15781.97,Retail
TXP_40ABEE9868,115086.05,13145.61,Retail
TXP_411944D18C,50761.82,5988.55,Retail
TXP_8E073914BE,19195.53,3304.31,Education
TXP_564D73A66B,104766.0,20895.97,Construction
TXP_DBDB0F2703,44852.34,7798.37,Unknown
TXP_0BC408E0F4,103178.07,19554.83,Construction
TXP_1FD5B7C5C0,41537.77,3061.88,Services
TXP_C8EAAFD5F2,37890.75,4888.17,Retail
TXP_388EFFC067,61130.33,7740.32,Technology
TXP_5C331F33AB,61455.72,9823.78,Retail
TXP_326C4AA816,100479.08,16608.55,Services
TXP_FE6FD77A91,40594.44,6941.89,Retail
TXP_9952D60768,23263.85,3719.11,Manufacturing
TXP_6CE594CFE8,104794.03,14465.94,Construction
TXP_FFB517C042,47130.46,6443.41,Construction
TXP_5B97D530EF,109374.03,20224.47,Technology
TXP_B8DC50D8EB,39161.76,6316.2,Finance
TXP_75C1AA0CA9,100149.32,15768.37,Healthcare
TXP_1259F06EF2,110620.26,9727.76,Construction
TXP_2945EF0649,92326.18,12873.62,Manufacturing
TXP_5BFA6ADD7C,33717.35,3772.5,Finance
TXP_1C4DE35FA2,136980.55,29764.53,Technology
TXP_18FCBE5270,83254.73,13190.43,Retail
TXP_91440C818C,36049.15,2058.91,Education
TXP_B0B966372B,57002.53,10060.64,Services
TXP_AB4FB43A22,250000.0,61940.38,Technology
TXP_7D57F7AB25,34119.19,3510.72,Construction
TXP_2BF7E24092,42255.62,5201.33,Finance
TXP_69D62F23C0,38918.8,6385.06,Healthcare
TXP_341F8266EC,122680.6,15355.25,Retail
TXP_DBB65D79BB,15000.0,8050.14,Healthcare
TXP_F193747F52,40155.81,5494.81,Healthcare
TXP_17781ADB5F,23602.54,1043.42,Education
TXP_69B4BEAE71,73534.24,9662.08,Finance
TXP_BDF775B8E9,17118.82,2213.04,Construction
TXP_A5B3E151E1,89467.32,12164.98,Technology
TXP_2F73B7DEB2,67819.01,13532.3,Manufacturing
TXP_59C0C22485,133790.85,27324.95,Healthcare
TXP_374B21E8D1,33664.85,3930.59,Manufacturing
TXP_9606E7F751,49573.64,10625.03,Unknown
TXP_EFBECDDE05,197340.92,15112.99,Finance
TXP_E4A502AEF5,52027.32,4255.19,Finance
TXP_CBEFDB3760,27759.07,3297.88,Retail
TXP_59C34CAC2A,51271.08,10123.92,Finance
TXP_521830C280,69671.27,6775.22,Finance
TXP_DF61A196D2,101253.68,19577.35,Services
TXP_1889808F01,11621.53,2156.5894445706235,Retail
TXP_D109D55823,41526.46,4251.15,Retail
TXP_351B40B4F5,99816.6,12423.7,Education
TXP_F5FCBD1743,25317.98,2664.8,Technology
TXP_A22E4486C3,52864.58,7861.43,Manufacturing
TXP_9F79786F2C,34509.86,6979.85,Technology
TXP_13DC8812A7,27597.98,6088.73,Construction
TXP_9ACEB04E75,250000.0,53753.91,Services
TXP_8F9A0D53F8,61930.76,5867.15,Technology
TXP_F632860BDF,51801.24,5608.1,Technology
TXP_116EA757D3,34272.77,3311.7,Technology
TXP_6D9205D55D,18932.29,3651.41,Technology
TXP_F922C578B3,158336.54,13840.53,Manufacturing
TXP_0F043FE05B,114199.33,22360.7,Finance
TXP_8DC0953694,89632.66,21704.11,Technology
TXP_5D22F406DA,35133.0,3587.95,Education
TXP_CE2D2EC2E3,231106.1,38614.37,Healthcare
TXP_6856A3CD74,14907.38,2766.3395744108752,Technology
TXP_5DADE5BEBC,77119.59,16236.34,Healthcare
TXP_6930604880,36436.58,6822.56,Other
TXP_304F15F619,21312.4,1881.76,Healthcare
TXP_49DB2280B9,119616.56,19979.0,Services
TXP_22444EC68D,67290.54,6296.3,Retail
TXP_1219F6B349,66499.05,8732.05,Construction
TXP_73DEF008C2,73044.0,730.44,Retail
TXP_0FF74E60DB,41416.8,4069.91,Services
TXP_00E5405419,250000.0,38954.54,Other
TXP_8A7FF12FEC,44740.65,10061.67,Finance
TXP_8794221C75,205642.08,42217.34,Finance
TXP_9F47CA294E,54460.77,8269.36,Finance
TXP_C0C1BDF05F,57096.39,4620.02,Retail
TXP_679DD2C69B,93579.89,25403.58,Technology
TXP_84CB41C6D6,30005.72,300.06,Technology
TXP_0E19BDCCBC,153870.29,27984.03,Services
TXP_39E98DDF34,9236.67,1714.0346430273933,Retail
TXP_64924A3275,39568.72,5398.25,Other
TXP_2FE3F69F3F,103677.23,15264.15,Healthcare
TXP_16A35AA4A3,161628.61,34840.31,Technology
TXP_310FD4847A,23629.5,4264.06,Retail
TXP_2A409A3698,35467.78,5927.29,Other
TXP_9A4994BBA6,80485.79,7104.51,Healthcare
TXP_E8D9E63D52,156103.79,27148.03,Manufacturing
TXP_E23E9D9EFF,203942.48,29619.74,Services
TXP_AAA349BA65,57231.41,13704.96,Services
TXP_68A3FB8F19,42865.08,9125.32,Unknown
TXP_A600E541F9,23578.71,3915.89,Retail
TXP_D49DF531CB,106461.52,4754.77,Manufacturing
TXP_50AB5ADC37,74084.02,9901.13,Manufacturing
TXP_BE85F90587,66741.71,9569.95,Other
TXP_B114FB30E9,57096.39,22473.81,Other
