Taxpayer ID,Declared Income,Deductions,Sector,prop_count,prop_value_total,prop_value_avg,prop_value_max,prop_value_min,prop_loc_distinct_count,prop_ownership_earliest,prop_ownership_latest,directorship_count,comp_distinct_count
TXP_0A78B11C9A,250000.0,48301.93,Technology,3,1490619.85,496873.2833333334,602000.01,313089.4,3,2006-01-10,2022-04-26,0,0
TXP_85119644D8,147896.72,23505.16,Manufacturing,1,146580.24,146580.24,146580.24,146580.24,1,2021-02-20,2021-02-20,0,0
TXP_FB9D1C4009,51184.27,9297.54,Healthcare,0,0.0,,,,0,,,0,0
TXP_EC27D12475,42463.53,9691.49,Retail,4,857403.54,214350.885,634608.55,50000.0,4,2013-10-18,2021-11-04,0,0
TXP_749ADA1DEB,36677.42,2491.77,Technology,1,881058.9,881058.9,881058.9,881058.9,1,2012-02-17,2012-02-17,0,0
TXP_B617598181,22376.15,2234.06,Retail,0,0.0,,,,0,,,0,0
TXP_4A3AAE7AAD,157764.75,37097.02,Services,0,0.0,,,,0,,,0,0
TXP_FD2EEB11BE,36864.07,3839.73,Construction,1,136120.48,136120.48,136120.48,136120.48,1,2022-03-31,2022-03-31,0,0
TXP_9265BCC637,68246.61,18882.19,Healthcare,2,823645.04,411822.52,768906.11,54738.93,2,2008-05-12,2010-12-15,2,2
TXP_04930AC896,49050.08,8949.48,Finance,1,159999.26,159999.26,159999.26,159999.26,1,2025-01-18,2025-01-18,0,0
TXP_CE7A6EA1EC,87419.95,21626.89,Healthcare,3,279334.07999999996,93111.35999999999,145287.86,66022.83,3,2007-11-30,2011-07-19,0,0
TXP_4DC0D4D850,57096.39,24592.51,Technology,2,752404.3500000001,376202.17500000005,598034.28,154370.07,2,2009-01-28,2018-03-16,0,0
TXP_6DE4D3F600,42586.81,4640.97,Manufacturing,0,0.0,,,,0,,,0,0
TXP_3D3584D9BD,78050.25,11816.04,Education,1,390123.47,390123.47,390123.47,390123.47,1,2011-08-09,2011-08-09,0,0
TXP_BB5F00FA81,19759.46,2749.25,Technology,0,0.0,,,,0,,,0,0
TXP_172DBEDF3A,113570.85,11431.33,Technology,0,0.0,,,,0,,,0,0
TXP_F883A61ACE,35831.77,1800.64,Education,2,484912.57499999995,242456.28749999998,260486.775,224425.8,2,2012-07-05,2020-09-22,0,0
TXP_EF3EA832B3,20977.54,4042.17,Technology,0,0.0,,,,0,,,0,0
TXP_B053A06176,35698.25,4735.99,Education,1,50000.0,50000.0,50000.0,50000.0,1,2022-01-09,2022-01-09,0,0
TXP_C320F47F66,51305.69,11489.2,Manufacturing,0,0.0,,,,0,,,2,2
TXP_F77A1B12BA,117450.79,11928.12,Manufacturing,0,0.0,,,,0,,,1,1
TXP_E7F07F70BF,165869.59,19015.99,Technology,1,181106.53,181106.53,181106.53,181106.53,1,1900-01-01,1900-01-01,0,0
TXP_F0FE794000,36293.45,4860.31,Finance,2,155874.57,77937.285,105874.57,50000.0,2,2021-12-04,2023-02-16,2,2
TXP_4572E17CD9,67516.86,10387.43,Construction,0,0.0,,,,0,,,2,2
TXP_E43CAB9304,71919.79,11705.14,Technology,1,115805.67,115805.67,115805.67,115805.67,1,2007-09-23,2007-09-23,0,0
TXP_E38455C852,26316.32,3897.26,Services,5,2412212.03,482442.40599999996,737486.19,114137.65,3,2006-07-04,2023-04-09,1,1
TXP_D55ADE414D,111604.16,24397.01,Construction,1,67553.65,67553.65,67553.65,67553.65,1,2008-09-20,2008-09-20,0,0
TXP_5CE499686F,16646.56,1485.21,Retail,0,0.0,,,,0,,,0,0
TXP_9D261F36D3,28917.14,4610.07,Manufacturing,0,0.0,,,,0,,,0,0
TXP_9118AA58C3,250000.0,40247.3,Healthcare,0,0.0,,,,0,,,0,0
TXP_EEC7F6FE2D,102116.65,15781.97,Retail,0,0.0,,,,0,,,0,0
TXP_40ABEE9868,115086.05,13145.61,Retail,0,0.0,,,,0,,,0,0
TXP_411944D18C,50761.82,5988.55,Retail,1,93791.41,93791.41,93791.41,93791.41,1,2010-05-31,2010-05-31,0,0
TXP_8E073914BE,19195.53,3304.31,Education,0,0.0,,,,0,,,0,0
TXP_564D73A66B,104766.0,20895.97,Construction,1,409346.45,409346.45,409346.45,409346.45,1,1900-01-01,1900-01-01,0,0
TXP_DBDB0F2703,44852.34,7798.37,Unknown,1,112379.02,112379.02,112379.02,112379.02,1,2022-03-01,2022-03-01,0,0
TXP_0BC408E0F4,103178.07,19554.83,Construction,4,861459.5,215364.875,559444.7,55539.3,3,2009-08-31,2023-04-14,0,0
TXP_1FD5B7C5C0,41537.77,3061.88,Services,0,0.0,,,,0,,,0,0
TXP_C8EAAFD5F2,37890.75,4888.17,Retail,1,197379.31,197379.31,197379.31,197379.31,1,2009-04-26,2009-04-26,0,0
TXP_388EFFC067,61130.33,7740.32,Technology,1,287504.99,287504.99,287504.99,287504.99,1,2010-04-15,2010-04-15,0,0
TXP_5C331F33AB,61455.72,9823.78,Retail,1,230272.85,230272.85,230272.85,230272.85,1,2012-09-18,2012-09-18,0,0
TXP_326C4AA816,100479.08,16608.55,Services,0,0.0,,,,0,,,0,0
TXP_FE6FD77A91,40594.44,6941.89,Retail,4,1508221.82,377055.455,717735.24,60140.8,3,2006-11-04,2024-05-14,0,0
TXP_9952D60768,23263.85,3719.11,Manufacturing,1,206247.95,206247.95,206247.95,206247.95,1,2021-04-07,2021-04-07,0,0
TXP_6CE594CFE8,104794.03,14465.94,Construction,0,0.0,,,,0,,,0,0
TXP_FFB517C042,47130.46,6443.41,Construction,1,410068.4,410068.4,410068.4,410068.4,1,2020-06-22,2020-06-22,0,0
TXP_5B97D530EF,109374.03,20224.47,Technology,2,553499.79,276749.895,354649.82,198849.97,2,2005-12-23,2009-05-03,0,0
TXP_B8DC50D8EB,39161.76,6316.2,Finance,0,0.0,,,,0,,,0,0
TXP_75C1AA0CA9,100149.32,15768.37,Healthcare,0,0.0,,,,0,,,0,0
TXP_1259F06EF2,110620.26,9727.76,Construction,2,655026.37,327513.185,413042.25,241984.12,2,2020-07-20,2024-09-23,0,0
TXP_2945EF0649,92326.18,12873.62,Manufacturing,3,592795.46,197598.48666666666,246368.16,145798.67,2,2007-11-27,2023-01-23,0,0
TXP_5BFA6ADD7C,33717.35,3772.5,Finance,0,0.0,,,,0,,,0,0
TXP_1C4DE35FA2,136980.55,29764.53,Technology,2,274275.63,137137.815,184995.83,89279.8,2,2005-05-04,2018-09-09,0,0
TXP_18FCBE5270,83254.73,13190.43,Retail,0,0.0,,,,0,,,0,0
TXP_91440C818C,36049.15,2058.91,Education,0,0.0,,,,0,,,0,0
TXP_B0B966372B,57002.53,10060.64,Services,0,0.0,,,,0,,,0,0
TXP_AB4FB43A22,250000.0,61940.38,Technology,1,175434.61,175434.61,175434.61,175434.61,1,2018-05-08,2018-05-08,0,0
TXP_7D57F7AB25,34119.19,3510.72,Construction,0,0.0,,,,0,,,0,0
TXP_2BF7E24092,42255.62,5201.33,Finance,0,0.0,,,,0,,,0,0
TXP_69D62F23C0,38918.8,6385.06,Healthcare,0,0.0,,,,0,,,0,0
TXP_341F8266EC,122680.6,15355.25,Retail,0,0.0,,,,0,,,0,0
TXP_DBB65D79BB,15000.0,8050.14,Healthcare,1,260486.775,260486.775,260486.775,260486.775,1,2017-11-03,2017-11-03,0,0
TXP_F193747F52,40155.81,5494.81,Healthcare,1,505335.34,505335.34,505335.34,505335.34,1,2005-09-29,2005-09-29,0,0
TXP_17781ADB5F,23602.54,1043.42,Education,2,585387.1,292693.55,486381.13,99005.97,2,2005-06-13,2016-10-18,0,0
TXP_69B4BEAE71,73534.24,9662.08,Finance,0,0.0,,,,0,,,0,0
TXP_BDF775B8E9,17118.82,2213.04,Construction,0,0.0,,,,0,,,0,0
TXP_A5B3E151E1,89467.32,12164.98,Technology,1,149051.4,149051.4,149051.4,149051.4,1,2009-02-18,2009-02-18,0,0
TXP_2F73B7DEB2,67819.01,13532.3,Manufacturing,0,0.0,,,,0,,,0,0
TXP_59C0C22485,133790.85,27324.95,Healthcare,2,440478.44000000006,220239.22000000003,283188.96,157289.48,2,2008-05-22,2010-03-16,0,0
TXP_374B21E8D1,33664.85,3930.59,Manufacturing,0,0.0,,,,0,,,0,0
TXP_9606E7F751,49573.64,10625.03,Unknown,0,0.0,,,,0,,,0,0
TXP_EFBECDDE05,197340.92,15112.99,Finance,0,0.0,,,,0,,,3,3
TXP_E4A502AEF5,52027.32,4255.19,Finance,1,208271.25,208271.25,208271.25,208271.25,1,1900-01-01,1900-01-01,0,0
TXP_CBEFDB3760,27759.07,3297.88,Retail,1,265050.8,265050.8,265050.8,265050.8,1,2018-03-13,2018-03-13,0,0
TXP_59C34CAC2A,51271.08,10123.92,Finance,0,0.0,,,,0,,,0,0
TXP_521830C280,69671.27,6775.22,Finance,2,459136.85000000003,229568.42500000002,342405.96,116730.89,2,2014-12-30,2024-12-28,0,0
TXP_DF61A196D2,101253.68,19577.35,Services,2,740831.88,370415.94,434469.24,306362.64,2,2023-11-04,2024-08-23,0,0
TXP_1889808F01,11621.53,2156.5894445706235,Retail,3,3080222.0,1026740.6666666666,1103487.92,980106.93,2,2014-11-22,2021-01-04,2,2
TXP_D109D55823,41526.46,4251.15,Retail,0,0.0,,,,0,,,0,0
TXP_351B40B4F5,99816.6,12423.7,Education,0,0.0,,,,0,,,0,0
TXP_F5FCBD1743,25317.98,2664.8,Technology,0,0.0,,,,0,,,1,1
TXP_A22E4486C3,52864.58,7861.43,Manufacturing,1,134133.35,134133.35,134133.35,134133.35,1,2016-11-20,2016-11-20,0,0
TXP_9F79786F2C,34509.86,6979.85,Technology,1,607793.03,607793.03,607793.03,607793.03,1,2013-10-06,2013-10-06,0,0
TXP_13DC8812A7,27597.98,6088.73,Construction,0,0.0,,,,0,,,0,0
TXP_9ACEB04E75,250000.0,53753.91,Services,0,0.0,,,,0,,,0,0
TXP_8F9A0D53F8,61930.76,5867.15,Technology,1,711446.93,711446.93,711446.93,711446.93,1,2006-01-05,2006-01-05,0,0
TXP_F632860BDF,51801.24,5608.1,Technology,1,630073.92,630073.92,630073.92,630073.92,1,2024-12-18,2024-12-18,0,0
TXP_116EA757D3,34272.77,3311.7,Technology,1,521047.51,521047.51,521047.51,521047.51,1,2017-02-15,2017-02-15,0,0
TXP_6D9205D55D,18932.29,3651.41,Technology,0,0.0,,,,0,,,0,0
TXP_F922C578B3,158336.54,13840.53,Manufacturing,0,0.0,,,,0,,,0,0
TXP_0F043FE05B,114199.33,22360.7,Finance,0,0.0,,,,0,,,0,0
TXP_8DC0953694,89632.66,21704.11,Technology,1,260486.775,260486.775,260486.775,260486.775,1,2014-02-24,2014-02-24,0,0
TXP_5D22F406DA,35133.0,3587.95,Education,0,0.0,,,,0,,,0,0
TXP_CE2D2EC2E3,231106.1,38614.37,Healthcare,1,148269.35,148269.35,148269.35,148269.35,1,2016-02-15,2016-02-15,0,0
TXP_6856A3CD74,14907.38,2766.3395744108752,Technology,4,6770202.9,1692550.725,2221483.39,829593.45,3,2011-07-17,2020-08-06,0,0
TXP_5DADE5BEBC,77119.59,16236.34,Healthcare,1,304200.81,304200.81,304200.81,304200.81,1,2012-03-23,2012-03-23,0,0
TXP_6930604880,36436.58,6822.56,Other,1,68806.95,68806.95,68806.95,68806.95,1,2009-10-26,2009-10-26,0,0
TXP_304F15F619,21312.4,1881.76,Healthcare,1,2000000.0,2000000.0,2000000.0,2000000.0,1,2023-03-05,2023-03-05,0,0
TXP_49DB2280B9,119616.56,19979.0,Services,0,0.0,,,,0,,,0,0
TXP_22444EC68D,67290.54,6296.3,Retail,0,0.0,,,,0,,,3,3
TXP_1219F6B349,66499.05,8732.05,Construction,4,724539.99,181134.9975,347228.32,67135.08,3,2006-12-30,2015-02-07,0,0
TXP_73DEF008C2,73044.0,730.44,Retail,0,0.0,,,,0,,,1,1
TXP_0FF74E60DB,41416.8,4069.91,Services,1,193217.83,193217.83,193217.83,193217.83,1,2023-05-29,2023-05-29,0,0
TXP_00E5405419,250000.0,38954.54,Other,0,0.0,,,,0,,,0,0
TXP_8A7FF12FEC,44740.65,10061.67,Finance,1,1002668.15,1002668.15,1002668.15,1002668.15,1,2010-07-04,2010-07-04,1,1
TXP_8794221C75,205642.08,42217.34,Finance,1,392148.14,392148.14,392148.14,392148.14,1,2015-02-17,2015-02-17,0,0
TXP_9F47CA294E,54460.77,8269.36,Finance,2,366978.78,183489.39,223038.5,143940.28,2,2017-05-24,2025-02-26,0,0
TXP_C0C1BDF05F,57096.39,4620.02,Retail,3,256304.05,85434.68333333333,122902.84,52139.89,2,2007-02-19,2023-05-02,0,0
TXP_679DD2C69B,93579.89,25403.58,Technology,0,0.0,,,,0,,,0,0
TXP_84CB41C6D6,30005.72,300.06,Technology,0,0.0,,,,0,,,0,0
TXP_0E19BDCCBC,153870.29,27984.03,Services,0,0.0,,,,0,,,0,0
TXP_39E98DDF34,9236.67,1714.0346430273933,Retail,0,0.0,,,,0,,,0,0
TXP_64924A3275,39568.72,5398.25,Other,0,0.0,,,,0,,,0,0
TXP_2FE3F69F3F,103677.23,15264.15,Healthcare,0,0.0,,,,0,,,0,0
