Taxpayer ID,Property Value,Location,Ownership Date
TXP_E066095C2E,1850031.92,Coastal Area,2010-12-19
TXP_6DAD5B0D94,638048.78,City Center,2022-10-23
TXP_FAFE33B485,,City Center,2024-09-30
TXP_AC30912673,172513.43,City Center,2008-09-04
TXP_5AC86E314D,50000.0,Coastal Area,2019-02-20
TXP_2EB7CEDA9F,84684.26,Suburban West,2019-10-25
TXP_84E8C53405,388975.62,Suburban North,2020-04-20
TXP_2B7569D4FA,123843.16,City Center,2022-03-06
TXP_904E34FD35,177407.19,Suburban North,2008-10-15
TXP_1D3BB8E417,464367.78,Suburban North,2023-01-04
TXP_B13D0A7B46,191113.82,Suburban North,2010-02-17
TXP_727800486B,73143.08,Suburban North,2008-09-11
TXP_C41E4D153E,200942.3,City Center,2013-01-28
TXP_1D69A711F7,440953.16,City Center,2023-05-11
TXP_6DAD5B0D94,449299.99,Coastal Area,2012-01-24
TXP_974031572B,1043759.95,Rural East,2015-11-05
TXP_330431CF40,199555.94,,2024-08-05
TXP_0B4BE91D7C,208474.58,Rural East,2024-08-21
TXP_13D9C87362,342033.18,Industrial South,2023-03-17
TXP_C277C6A111,89197.95,Rural East,2020-05-27
TXP_A84DEC542D,,City Center,2020-02-03
TXP_92A530B585,440776.08,City Center,2013-12-22
TXP_D130D77E30,234296.71,Rural East,2011-10-22
TXP_80DB7DF4DB,275318.68,Rural East,2024-09-17
TXP_62B8A1E403,492296.3,Suburban West,2012-09-20
TXP_2FB98FF8B0,1552698.87,Suburban North,2020-11-06
TXP_C6EA3FAB5F,247476.48,Suburban North,2009-04-01
TXP_5DA8350164,136517.72,Suburban North,2010-09-25
TXP_0BA05D4DE5,188908.95,City Center,2009-07-30
TXP_2E5FA101A0,558964.11,Rural East,
TXP_B1DE3588DF,304807.82,Industrial South,2015-11-25
TXP_8AAFAACE48,848356.33,Coastal Area,2020-05-13
TXP_47BCC3A47C,63650.08,Suburban West,2015-03-27
TXP_D17DD79CA5,216698.84,Coastal Area,2012-02-03
TXP_5BFBF2122E,537554.94,Rural East,2019-01-26
TXP_143CAF4EFA,64936.99,,2007-02-26
TXP_04E7992583,54025.67,Industrial South,2005-10-23
TXP_2EA6CC5750,519076.87,Rural East,2025-02-28
TXP_83A27C35B3,163874.39,City Center,2008-04-15
TXP_728F02DB09,395565.15,Industrial South,2007-03-27
TXP_A0108F58FA,87042.99,City Center,2021-09-23
TXP_7A7AD9AD73,172156.93,Suburban West,2009-08-25
TXP_7C671A2F33,304221.82,Rural East,2015-10-30
TXP_61EFBEF5DC,89270.8,Suburban West,2017-09-04
TXP_30D8E02020,80677.67,Industrial South,2019-01-28
TXP_3DF8B980E4,244975.16,Coastal Area,2021-10-27
TXP_4AB11AF3FC,58282.16,Suburban North,2020-06-24
TXP_CFCEAD8B1A,118131.96,Industrial South,2008-03-08
TXP_367280BA0C,1891907.08,Industrial South,2017-10-04
TXP_1D40778B4C,235896.81,Rural East,2023-01-06
TXP_DF347BECA3,98987.1,Industrial South,2023-03-25
TXP_46D534F82C,63194.96,Coastal Area,2016-10-14
TXP_227098F008,104939.91,City Center,2023-02-20
TXP_09FD201124,1567352.78,Suburban West,2017-04-04
TXP_38D76A29E1,188561.14,Rural East,2006-04-20
TXP_9E8D34E3DF,96659.15,Suburban North,2017-08-05
TXP_3FB0E08CB2,631054.93,,2011-10-08
TXP_3A806D338F,133788.41,Rural East,2019-05-18
TXP_2CDCAFD00E,510629.76,Rural East,2007-03-17
TXP_73AD5BC04B,746090.19,Coastal Area,2024-05-02
TXP_A94A3CDDE6,1892813.04,Rural East,2008-12-10
TXP_68D4378756,1145615.89,Coastal Area,2015-01-02
TXP_6897A2C242,83904.23,,2013-04-13
TXP_CBAC7EB93D,210907.97,Suburban North,2022-07-05
TXP_D3EC4F213B,148276.84,City Center,2016-10-26
TXP_EC2C14367A,127039.04,City Center,2023-07-17
TXP_F30E036665,629845.65,Suburban North,2012-12-04
TXP_F0295AE447,315817.6,Suburban West,2018-09-25
TXP_B84EF469B5,156727.49,Rural East,2006-09-15
TXP_61429018A2,686243.06,Suburban North,2011-03-18
TXP_5E2ED50336,84331.13,Coastal Area,2011-06-09
TXP_3B8E061303,432967.27,City Center,2005-06-13
TXP_CF4467C410,50000.0,Suburban West,2005-12-24
TXP_AA3F403D65,260363.25,Suburban North,2017-03-13
TXP_EBEA524911,95296.54,City Center,2012-05-11
TXP_EE1449A194,118568.35,Rural East,2020-12-29
TXP_2B688B0212,469382.94,Suburban West,2009-07-04
TXP_FD736B6E7B,131849.32,City Center,2023-10-01
TXP_2D25E3670C,83615.04,Rural East,2024-04-12
TXP_93A731A0C7,357162.42,Industrial South,2010-06-23
TXP_022D83408A,446042.26,Suburban North,2020-03-13
TXP_AE3BBE2512,,City Center,2007-12-21
TXP_61F45AAA5C,925624.2,Suburban West,2018-10-26
TXP_09B65D44DF,148158.74,Suburban North,2023-07-09
TXP_C1FC97E536,137880.45,Suburban North,2006-02-15
TXP_DE13E957C6,50000.0,Suburban West,2020-02-01
TXP_6FEC10FF37,901705.57,Industrial South,2005-11-15
TXP_F282846618,373485.92,Suburban North,2023-01-16
TXP_A81EDAB91A,93532.02,Rural East,2016-10-13
TXP_5899684A0E,162432.16,Rural East,2019-01-27
TXP_37150C933A,402176.05,City Center,2015-02-20
TXP_5DF92DCEC4,162058.79,City Center,2011-01-19
TXP_5077CEE99B,146396.58,Suburban West,2006-08-07
TXP_10FF89648D,210536.37,Suburban West,2017-02-15
TXP_BFB086DB62,339338.27,Suburban North,2021-08-29
TXP_10329916BF,521047.51,Suburban West,2017-01-02
TXP_21C0326FCD,50000.0,Suburban North,2017-05-04
TXP_784C0FC7C6,,Suburban West,2020-08-10
TXP_179E52D69D,437988.3,Suburban North,2010-04-11
TXP_445E6C2BF0,126717.49,Rural East,2019-04-27
TXP_7693250749,1665188.88,Coastal Area,2009-07-26
TXP_FC13B0DEDC,310129.45,Suburban West,2009-12-23
TXP_61F45AAA5C,233235.26,City Center,2010-10-10
TXP_A6BD337A2D,,Rural East,2023-09-16
TXP_1B501B4760,50000.0,Coastal Area,2011-08-24
TXP_66BE48B9D6,257439.0,Coastal Area,2011-01-25
TXP_CB25E3E9ED,2324531.19,City Center,2021-06-21
TXP_5AB6B2483E,70128.84,Industrial South,2013-04-30
TXP_220000D545,2207869.2,Rural East,2008-12-14
TXP_802302F81E,342619.47,Suburban North,2019-10-26
TXP_608A629AE6,383275.83,Suburban West,2021-08-23
TXP_B85A673137,86308.76,Rural East,
TXP_195DF3D539,75233.99,Suburban West,2016-10-18
TXP_3CB316461E,126335.89,Suburban North,2019-04-03
TXP_8E33A966A8,661073.09,City Center,2010-12-15
TXP_F63D34DA4A,486381.13,Coastal Area,2009-11-15
TXP_36B75310AA,410546.27,Coastal Area,2012-10-25
TXP_B735B76A1F,768906.11,Suburban North,2020-05-19
TXP_B4C5A62020,120392.66,Suburban West,2009-12-14
TXP_6AB3912539,217752.09,Suburban West,2018-01-13
TXP_FE685FBEDB,143125.41,City Center,2006-05-28
TXP_EE514DE278,290019.84,,2008-01-28
TXP_2ADF0E6008,424833.64,Rural East,2007-11-27
TXP_759E83A27C,132226.95,Suburban North,2024-01-20
TXP_3CC2EC73C7,638961.75,Industrial South,2020-03-03
TXP_7CC13CC6A5,145798.67,City Center,2006-11-16
TXP_276878BEAF,235011.82,Coastal Area,2024-08-03
TXP_B127BCF515,535313.01,Suburban West,2007-04-03
TXP_526E509F72,383550.4,City Center,2018-03-26
