Taxpayer ID,Declared Income,Deductions,Sector
TXP_45F37389A0,250000.0,48301.93,Technology
TXP_BB837C9FB9,147896.72,23505.16,Manufacturing
TXP_D1A8EA287F,51184.27,9297.54,Healthcare
TXP_A801DC9BBA,42463.53,9691.49,Retail
TXP_2D1F72FE6F,36677.42,2491.77,Technology
TXP_207FA086C2,22376.15,2234.06,Retail
TXP_7C47429F5E,157764.75,37097.02,Services
TXP_9B424462E1,36864.07,3839.73,Construction
TXP_973710F23B,68246.61,18882.19,Healthcare
TXP_B7C61A2CBE,49050.08,8949.48,Finance
TXP_D46E7C7E48,87419.95,21626.89,Healthcare
TXP_546F8FD78F,,24592.51,Technology
TXP_86702CD179,42586.81,4640.97,Manufacturing
TXP_6234E510DA,78050.25,11816.04,Education
TXP_8E5D5CBE36,19759.46,2749.25,Technology
TXP_B6D10C88FB,113570.85,11431.33,Technology
TXP_9AD43EDD38,35831.77,1800.64,Education
TXP_CB2755D22C,20977.54,4042.17,Technology
TXP_9897DD8CA7,35698.25,4735.99,Education
TXP_52C6E471F9,51305.69,11489.2,Manufacturing
TXP_8A0EF12CC3,117450.79,11928.12,Manufacturing
TXP_19362526CA,165869.59,19015.99,Technology
TXP_2BB0A681DA,36293.45,4860.31,Finance
TXP_D0D052A620,67516.86,10387.43,Construction
TXP_2858336049,71919.79,11705.14,Technology
TXP_B41339D0FF,26316.32,3897.26,Services
TXP_A9B39F734D,111604.16,24397.01,Construction
TXP_CC84903A81,16646.56,1485.21,Retail
TXP_F44599FFAE,28917.14,4610.07,Manufacturing
TXP_926E907DCF,250000.0,40247.3,Healthcare
TXP_4C384BC53A,102116.65,15781.97,Retail
TXP_708264356D,115086.05,13145.61,Retail
TXP_F10E0CD48C,50761.82,5988.55,Retail
TXP_BBD44F416F,19195.53,3304.31,Education
TXP_9ACAA4CB57,104766.0,20895.97,Construction
TXP_3B116D5486,44852.34,7798.37,
TXP_926CC8EDF7,103178.07,19554.83,Construction
TXP_7FEB3F5AE8,41537.77,3061.88,Services
TXP_23F322F9FA,37890.75,4888.17,Retail
TXP_A2F530DEE4,61130.33,7740.32,Technology
TXP_607AEBDAAE,61455.72,9823.78,Retail
TXP_6CF186F1ED,100479.08,16608.55,Services
TXP_EC04234DF6,40594.44,6941.89,Retail
TXP_27EA78F773,23263.85,3719.11,Manufacturing
TXP_C316F71722,104794.03,14465.94,Construction
TXP_C29EFFE63D,47130.46,6443.41,Construction
TXP_CC63B07480,109374.03,20224.47,Technology
TXP_B17598067C,39161.76,6316.2,Finance
TXP_39B83CA86C,100149.32,15768.37,Healthcare
TXP_DB420278EE,110620.26,9727.76,Construction
TXP_76A7EBC67E,92326.18,12873.62,Manufacturing
TXP_15B44D4FB0,33717.35,3772.5,Finance
TXP_4E28621AEF,136980.55,29764.53,Technology
TXP_950A734EA1,83254.73,13190.43,Retail
TXP_CD7D53F247,36049.15,2058.91,Education
TXP_1850966B6D,57002.53,10060.64,Services
TXP_92B612D1A3,250000.0,61940.38,Technology
TXP_30B139CC0D,34119.19,3510.72,Construction
TXP_C22B08789B,42255.62,5201.33,Finance
TXP_C83556BCAB,38918.8,6385.06,Healthcare
TXP_931A5F4E28,122680.6,15355.25,Retail
TXP_F7D9CB06F1,15000.0,,Healthcare
TXP_85263FCA74,40155.81,5494.81,Healthcare
TXP_8695165ACD,23602.54,1043.42,Education
TXP_6EA875D8FD,73534.24,9662.08,Finance
TXP_4A791089F7,17118.82,2213.04,Construction
TXP_1E6F721629,89467.32,12164.98,Technology
TXP_F7F3BE3512,67819.01,13532.3,Manufacturing
TXP_A0DC8D79BC,133790.85,27324.95,Healthcare
TXP_8857011D74,33664.85,3930.59,Manufacturing
TXP_DD7C41AC7A,49573.64,10625.03,
TXP_7A85385A59,197340.92,15112.99,Finance
TXP_A6D975ECD8,52027.32,4255.19,Finance
TXP_F5090FC231,27759.07,3297.88,Retail
TXP_80404195B8,51271.08,10123.92,Finance
TXP_CA18D978EB,69671.27,6775.22,Finance
TXP_F6ABD36D2F,101253.68,19577.35,Services
TXP_3FE653C6F3,11621.53,2156.5894445706235,Retail
TXP_74111FBE35,41526.46,4251.15,Retail
TXP_DE863B81BB,99816.6,12423.7,Education
TXP_39D4656BE0,25317.98,2664.8,Technology
TXP_50D0A54CC4,52864.58,7861.43,Manufacturing
TXP_C00C750753,34509.86,6979.85,Technology
TXP_6E54A6DCD2,27597.98,6088.73,Construction
TXP_B2C2E93119,250000.0,53753.91,Services
TXP_05B5FFEA39,61930.76,5867.15,Technology
TXP_D0ACC0953C,51801.24,5608.1,Technology
TXP_C43EC58DDE,34272.77,3311.7,Technology
TXP_61DB90F3FC,18932.29,3651.41,Technology
TXP_E5BE643D02,158336.54,13840.53,Manufacturing
TXP_8AC2C26E2F,114199.33,22360.7,Finance
TXP_F2304C7920,89632.66,21704.11,Technology
TXP_1FD2F08B25,35133.0,3587.95,Education
TXP_12E7D4EDB6,231106.1,38614.37,Healthcare
TXP_2C99D15921,14907.38,2766.3395744108752,Technology
TXP_9F39E53B03,77119.59,16236.34,Healthcare
TXP_ACDF2C5EF7,36436.58,6822.56,Other
TXP_1F4861148D,21312.4,1881.76,Healthcare
TXP_147A04FA76,119616.56,19979.0,Services
TXP_560440B0EA,67290.54,6296.3,Retail
TXP_DD2C9E6062,66499.05,8732.05,Construction
TXP_7466924E79,73044.0,730.44,Retail
TXP_497A52677E,41416.8,4069.91,Services
TXP_B17E38719D,250000.0,38954.54,Other
TXP_13CD093E26,44740.65,10061.67,Finance
TXP_ABEEC0C505,205642.08,42217.34,Finance
TXP_1B4AC6DA3C,54460.77,8269.36,Finance
TXP_033FCBC32F,,4620.02,Retail
